Year,Flow,Partner,PartnerDesc,Commodity,CommodityDesc,TradeValue,NetWeight
2023,,56,,27,,15699938,0
2023,,498,,27,,1521370,0
2023,,52,,27,,268987,0
2023,,706,,27,,61310,0
2023,,380,,27,,24476178,0
2023,,233,,27,,622401029,0
2023,,76,,27,,90408206,0
2023,,191,,27,,5505580,0
2023,,12,,27,,1104545,0
2023,,417,,27,,8807094,0
